Discipline,Gender,Event,order,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Team Event
GR,W,024,1,Individual All-Around,Concours multiple individuel,Competição individual geral,Competencia múltiple individual,Individual All-Around,Concours multiple individuel,Competição individual geral,Competencia múltiple individual,N
GR,W,340,2,Group All-Around,Concours des ensembles,Competição por equipes geral,Competencia múltiple de conjuntos,Group All-Around,Concours des ensembles,Competição por equipes geral,Competencia múltiple de conjuntos,Y
GT,0,000,,Trampoline Gymnastics,Trampoline,Ginástica de trampolim,Gimnasia en trampolín,Trampoline Gymnastics,Trampoline,Ginástica de trampolim,Gimnasia en trampolín,
GT,0,ROA,,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,
GT,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
GT,M,001,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
GT,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
GT,W,001,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
GY,0,000,,Gymnastic Sport,Gymnastique,Ginástica ,Gimnasia,Gymnastic Sport,Gymnastique,Ginástica ,Gimnasia,
HB,0,000,,Handball,Handball,Handebol,Balonmano,Handball,Handball,Handebol,Balonmano,
HB,0,FTA,,Future Arena,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Future Arena,Arena do Futuro,Arena del Futuro,
HB,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
HB,M,400,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,Y
HB,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
HB,W,400,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,Y
HO,0,000,,Hockey,Hockey,Hóquei sobre grama,Hockey sobre césped,Hockey,Hockey,Hóquei sobre grama,Hockey sobre césped,
HO,0,OHK,,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,
HO,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
HO,M,400,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,Y
HO,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
HO,W,400,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,Y
IA,0,MET,,IOC Meetings,Réunions du CIO,Reuniões do COI,Reuniones del COI,IOC Meetings,Réunions du CIO,Reuniões do COI,Reuniones del COI,
JU,0,000,,Judo,Judo,Judô,Judo,Judo,Judo,Judô,Judo,
JU,0,CA2,,Carioca Arena 2,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,Carioca Arena 2,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,
JU,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
JU,M,060,8,Men -60 kg,-60 kg - hommes,Até 60kg masculino,Hasta 60 kg masculino,Men -60 kg,-60 kg - hommes,Até 60kg masculino,Hasta 60 kg masculino,N
JU,M,066,9,Men -66 kg,-66 kg - hommes,Até 66kg masculino,Hasta 66 kg masculino,Men -66 kg,-66 kg - hommes,Até 66kg masculino,Hasta 66 kg masculino,N
JU,M,073,10,Men -73 kg,-73 kg - hommes,Até 73kg masculino,Hasta 73 kg masculino,Men -73 kg,-73 kg - hommes,Até 73kg masculino,Hasta 73 kg masculino,N
JU,M,081,11,Men -81 kg,-81 kg - hommes,Até 81kg masculino,Hasta 81 kg masculino,Men -81 kg,-81 kg - hommes,Até 81kg masculino,Hasta 81 kg masculino,N
JU,M,090,12,Men -90 kg,-90 kg - hommes,Até 90kg masculino,Hasta 90 kg masculino,Men -90 kg,-90 kg - hommes,Até 90kg masculino,Hasta 90 kg masculino,N
JU,M,100,13,Men -100 kg,-100 kg - hommes,Até 100kg masculino,Hasta 100 kg masculino,Men -100 kg,-100 kg - hommes,Até 100kg masculino,Hasta 100 kg masculino,N
JU,M,200,14,Men +100 kg,+100 kg - hommes,Acima de 100kg masculino,Más de 100 kg masculino,Men +100 kg,+100 kg - hommes,Acima de 100kg masculino,Más de 100 kg masculino,N
JU,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
JU,W,048,1,Women -48 kg,-48 kg - femmes,Até 48kg feminino,Hasta 48 kg femenino,Women -48 kg,-48 kg - femmes,Até 48kg feminino,Hasta 48 kg femenino,N
JU,W,052,2,Women -52 kg,-52 kg - femmes,Até 52kg feminino,Hasta 52 kg femenino,Women -52 kg,-52 kg - femmes,Até 52kg feminino,Hasta 52 kg femenino,N
JU,W,057,3,Women -57 kg,-57 kg - femmes,Até 57kg feminino,Hasta 57 kg femenino,Women -57 kg,-57 kg - femmes,Até 57kg feminino,Hasta 57 kg femenino,N
JU,W,063,4,Women -63 kg,-63 kg - femmes,Até 63kg  feminino,Hasta 63 kg femenino,Women -63 kg,-63 kg - femmes,Até 63kg  feminino,Hasta 63 kg femenino,N
JU,W,070,5,Women -70 kg,-70 kg - femmes,Até 70kg feminino,Hasta 70 kg femenino,Women -70 kg,-70 kg - femmes,Até 70kg feminino,Hasta 70 kg femenino,N
JU,W,078,6,Women -78 kg,-78 kg - femmes,Até 78kg feminino,Hasta 78 kg femenino,Women -78 kg,-78 kg - femmes,Até 78kg feminino,Hasta 78 kg femenino,N
JU,W,178,7,Women +78 kg,+78 kg - femmes,Acima de 78kg feminino,Más de 78 kg femenino,Women +78 kg,+78 kg - femmes,Acima de 78kg feminino,Más de 78 kg femenino,N
MP,0,000,,Modern Pentathlon,Pentathlon moderne,Pentatlo moderno,Pentatlón moderno,Modern Pentathlon,Pentathlon moderne,Pentatlo moderno,Pentatlón moderno,
MP,0,001,,Modern Pentathlon,Pentathlon moderne,Pentatlo moderno,Pentatlón moderno,Modern Pentathlon,Pentathlon moderne,Pentatlo moderno,Pentatlón moderno,
MP,0,DAQ,,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,
MP,0,DES,,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,
MP,0,YOA,,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,
MP,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
MP,M,001,1,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,
MP,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
MP,W,001,2,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,
OV,0,CFH,,Coffee House,Café,Café,Café,Coffee House,Café,Café,Café,
OV,0,CLB,,Club,Club,Clube,Club,Club,Club,Clube,Club,
OV,0,ENP,,Entertainment Programme,Programme de divertissement,Programa de Entretenimento,Programa de entretenimiento,Entertainment Programme,Programme de divertissement,Programa de Entretenimento,Programa de entretenimiento,
OV,0,IFC,,Interfaith Centre,Centre Ecuménique,Centro inter-religioso,Centro ecuménico,Interfaith Centre,Centre Ecuménique,Centro inter-religioso,Centro ecuménico,
OV,0,IOC,,IOC Athletes' Commission Election,Élection Commission des Athlètes du CIO,Eleição da comissão de atletas do COI,Elección de la Comisión de Atletas COI,IOC Athletes' Commission Election,Élection Commission des Athlètes du CIO,Eleição da comissão de atletas do COI,Elección de la Comisión de Atletas COI,
OV,0,SPE,,Special Events,Évènements spéciaux,Eventos especiais,Eventos especiales,Special Events,Évènements spéciaux,Eventos especiais,Eventos especiales,
OV,0,TEA,,Team Welcome Ceremonies,Cérémonies d'accueil des équipes,Cerimônias de boas-vindas às equipes,Ceremonias de bienvenida de los equipos,Team Welcome Ceremonies,Cérémonies d'accueil des équipes,Cerimônias de boas-vindas às equipes,Ceremonias de bienvenida de los equipos,
OV,0,THR,,Theatre,Théâtre,Teatro,Teatro,Theatre,Théâtre,Teatro,Teatro,
OV,0,VTG,,IOC Voting,Vote du CIO,Votação do COI,Votación del COI,IOC Voting,Vote du CIO,Votação do COI,Votación del COI,
OW,0,000,,Marathon Swimming,Natation de marathon,Maratonas aquáticas,Aguas abiertas,Marathon Swimming,Natation de marathon,Maratonas aquáticas,Aguas abiertas,
OW,0,FTC,,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,
OW,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
OW,M,010,2,Men's 10km,10 km - hommes,10km masculina,10km masculino,Men's 10km,10 km - hommes,10km masculina,10km masculino,N
OW,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
OW,W,010,1,Women's 10km,10 km - femmes,10km feminina,10km femenino,Women's 10km,10 km - femmes,10km feminina,10km femenino,N
PC,0,AR0,,Archery Press Conference,Conférence de presse - tir à l'arc,Coletiva de imprensa - Tiro com arco,Conferencia de Prensa - Tiro con arco,Archery Press Conference,Conférence de presse - tir à l'arc,Coletiva de imprensa - Tiro com arco,Conferencia de Prensa - Tiro con arco,
PC,0,AT0,,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,Conferencia de Prensa - Atletismo,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,Conferencia de Prensa - Atletismo,
PC,0,BD0,,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,Conferencia de Prensa - Bádminton,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,Conferencia de Prensa - Bádminton,
PC,0,BK0,,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,Conferencia de Prensa - Baloncesto,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,Conferencia de Prensa - Baloncesto,
PC,0,BV0,,Beach Volleyball Press Conference,Conférence de presse - volleyball plage,Coletiva de imprensa - Vôlei de praia,Conf. de Prensa - Voleibol de playa,Beach Volleyball Press Conference,Conférence de presse - volleyball plage,Coletiva de imprensa - Vôlei de praia,Conferencia de Prensa - Voleibol de playa,
PC,0,BX0,,Boxing Press Conference,Conférence de presse - boxe,Coletiva de imprensa - Boxe,Conferencia de Prensa - Boxeo,Boxing Press Conference,Conférence de presse - boxe,Coletiva de imprensa - Boxe,Conferencia de Prensa - Boxeo,
PC,0,CB0,,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,Conferencia de Prensa - Ciclismo BMX,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,Conferencia de Prensa - Ciclismo BMX,
PC,0,CF0,,Canoe Sprint Press Conference,"Conf. de presse - canoë-kayak, ligne",Coletiva de imprensa-Canoagem velocidade,Conf. de Prensa - Canotaje de velocidad,Canoe Sprint Press Conference,"Conf. de presse - canoë-kayak, ligne",Coletiva de imprensa-Canoagem velocidade,Conferencia de Prensa - Canotaje de velocidad,
PC,0,CM0,,Cycling Mountain Bike Press Conference,Conférence de presse - mountain bike,Coletiva de imprensa - Mountain bike,Conf. de Prensa - Ciclismo de montaña,Cycling Mountain Bike Press Conference,Conférence de presse - mountain bike,Coletiva de imprensa - Mountain bike,Conferencia de Prensa - Ciclismo de montaña,
PC,0,CR0,,Cycling Road Press Conference,Conférence de presse - cyclisme route,Coletiva de imprensa-Ciclismo de estrada,Conferencia de Prensa - Ciclismo de ruta,Cycling Road Press Conference,Conférence de presse - cyclisme route,Coletiva de imprensa-Ciclismo de estrada,Conferencia de Prensa - Ciclismo de ruta,
PC,0,CS0,,Canoe Slalom Press Conference,"Conf. de presse - canoë-kayak, slalom",Coletiva de imprensa - Canoagem slalom,Conferencia de Prensa - Canotaje eslalon,Canoe Slalom Press Conference,"Conf. de presse - canoë-kayak, slalom",Coletiva de imprensa - Canoagem slalom,Conferencia de Prensa - Canotaje eslalon,
PC,0,CT0,,Cycling Track Press Conference,Conférence de presse - cyclisme piste,Coletiva de imprensa - Ciclismo de pista,Conf. de Prensa - Ciclismo de pista,Cycling Track Press Conference,Conférence de presse - cyclisme piste,Coletiva de imprensa - Ciclismo de pista,Conferencia de Prensa - Ciclismo de pista,
PC,0,DV0,,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa- Saltos ornamentais,Conferencia de Prensa - Clavados,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa- Saltos ornamentais,Conferencia de Prensa - Clavados,
PC,0,EQ0,,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,Conferencia de Prensa - Ecuestre,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,Conferencia de Prensa - Ecuestre,
PC,0,FB0,,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,Conferencia de Prensa - Fútbol,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,Conferencia de Prensa - Fútbol,
PC,0,FE0,,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,Conferencia de Prensa - Esgrima,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,Conferencia de Prensa - Esgrima,
PC,0,GA0,,Artistic Gymnastics Press Conference,Conférence de presse - gym. artistique,Coletiva de imprensa-Ginástica artística,Conf. de Prensa - Gimnasia artística,Artistic Gymnastics Press Conference,Conférence de presse - gym. artistique,Coletiva de imprensa-Ginástica artística,Conferencia de Prensa - Gimnasia artística,
PC,0,GEN,,General Press Conference,Conférence de presse générale,Coletiva de imprensa - Geral,Conferencia de Prensa - General,General Press Conference,Conférence de presse générale,Coletiva de imprensa - Geral,Conferencia de Prensa - General,
PC,0,GO0,,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,Conferencia de Prensa - Golf,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,Conferencia de Prensa - Golf,
PC,0,GR0,,Rhythmic Gymnastics Press Conference,Conférence de presse - gym. rythmique,Coletiva de imprensa - Ginástica rítmica,Conferencia de Prensa - Gimnasia rítmica,Rhythmic Gymnastics Press Conference,Conférence de presse - gym. rythmique,Coletiva de imprensa - Ginástica rítmica,Conferencia de Prensa - Gimnasia rítmica,
PC,0,GT0,,Trampoline Gymnastics Press Conference,Conférence de presse - trampoline,Coletiva de imprensa-Ginástica trampolim,Conf. de Prensa - Gimnasia en trampolín,Trampoline Gymnastics Press Conference,Conférence de presse - trampoline,Coletiva de imprensa-Ginástica trampolim,Conferencia de Prensa - Gimnasia en trampolín,
PC,0,HB0,,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,Conferencia de Prensa - Balonmano,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,Conferencia de Prensa - Balonmano,
PC,0,HO0,,Hockey Press Conference,Conférence de presse - hockey,Coletiva de imprensa -Hóquei sobre grama,Conf. de Prensa - Hockey sobre césped,Hockey Press Conference,Conférence de presse - hockey,Coletiva de imprensa -Hóquei sobre grama,Conferencia de Prensa - Hockey sobre césped,
PC,0,IOC,,IOC/Rio2016 Press Conference,Conférence de presse - CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,Conferencia de Prensa - COI/Rio2016,IOC/Rio2016 Press Conference,Conférence de presse - CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,Conferencia de Prensa - COI/Rio2016,
PC,0,JU0,,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,Conferencia de Prensa - Judo,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,Conferencia de Prensa - Judo,
PC,0,LOC,,Rio2016 Press Conference,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,Conferencia de Prensa - Rio2016,Rio2016 Press Conference,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,Conferencia de Prensa - Rio2016,
PC,0,MP0,,Modern Pentathlon Press Conference,Conf. de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,Conf. de Prensa - Pentatlón moderno,Modern Pentathlon Press Conference,Conf. de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,Conferencia de Prensa - Pentatlón moderno,
PC,0,OW0,,Marathon Swimming Press Conference,Conf. de presse - natation de marathon,Coletiva de imprensa-Maratonas aquáticas,Conferencia de Prensa - Aguas abiertas,Marathon Swimming Press Conference,Conf. de presse - natation de marathon,Coletiva de imprensa-Maratonas aquáticas,Conferencia de Prensa - Aguas abiertas,
PC,0,RO0,,Rowing Press Conference,Conférence de presse - aviron,Coletiva de imprensa - Remo,Conferencia de Prensa - Remo,Rowing Press Conference,Conférence de presse - aviron,Coletiva de imprensa - Remo,Conferencia de Prensa - Remo,
PC,0,RU0,,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,Conferencia de Prensa - Rugby,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,Conferencia de Prensa - Rugby,
PC,0,SA0,,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,Conferencia de Prensa - Vela,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,Conferencia de Prensa - Vela,
PC,0,SH0,,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,Conferencia de Prensa - Tiro,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,Conferencia de Prensa - Tiro,
PC,0,SPO,,Sponsor Press Conferences,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,Conferencias de Prensa - Patrocinadores,Sponsor Press Conferences,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,Conferencias de Prensa - Patrocinadores,
PC,0,SW0,,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,Conferencia de Prensa - Natación,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,Conferencia de Prensa - Natación,
PC,0,SY0,,Synchronised Swimming Press Conference,Conf. de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,Conf. de Prensa - Nado sincronizado,Synchronised Swimming Press Conference,Conf. de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,Conferencia de Prensa - Nado sincronizado,
PC,0,TE0,,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,Conferencia de Prensa - Tenis,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,Conferencia de Prensa - Tenis,
PC,0,TK0,,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,Conferencia de Prensa - Taekwondo,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,Conferencia de Prensa - Taekwondo,
PC,0,TR0,,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,Conferencia de Prensa - Triatlón,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,Conferencia de Prensa - Triatlón,
PC,0,TT0,,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,Conferencia de Prensa - Tenis de mesa,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,Conferencia de Prensa - Tenis de mesa,
PC,0,VO0,,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,Conferencia de Prensa - Voleibol,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,Conferencia de Prensa - Voleibol,
PC,0,WL0,,Weightlifting Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento peso,Conf. de Prensa - Levantamiento de pesas,Weightlifting Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento peso,Conferencia de Prensa - Levantamiento de pesas,
PC,0,WP0,,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,Conferencia de Prensa - Polo acuático,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,Conferencia de Prensa - Polo acuático,
PC,0,WR0,,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,Conferencia de Prensa - Lucha,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,Conferencia de Prensa - Lucha,
RO,0,000,,Rowing,Aviron,Remo,Remo,Rowing,Aviron,Remo,Remo,
RO,0,LAG,,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,
RO,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
RO,M,012,7,Men's Single Sculls,Skiff Homme,Single-skiff masculino,Un par de remos cortos masculino,Men's Single Sculls,Skiff Homme,Single-skiff masculino,Un par de remos cortos masculino,
RO,M,021,2,Men's Pair,Deux de Pointe Homme,Dois sem masculino,Dos sin timonel masculino,Men's Pair,Deux de Pointe Sans Barreur Homme,Dois sem masculino,Dos sin timonel masculino,
RO,M,022,4,Men's Double Sculls,Deux de Couple Homme,Double-skiff masculino,Doble par de remos cortos masculino,Men's Double Sculls,Deux de Couple Homme,Double-skiff masculino,Doble par de remos cortos masculino,
RO,M,041,5,Men's Four,Quatre de Pointe Homme,Quatro sem masculino,Cuatro sin timonel masculino,Men's Four,Quatre de Pointe Sans Barreur Homme,Quatro sem masculino,Cuatro sin timonel masculino,
RO,M,042,12,Men's Quadruple Sculls,Quatre de Couple Homme,Four-skiff masculino,Cuatro pares de remos cortos masculino,Men's Quadruple Sculls,Quatre de Couple Homme,Four-skiff masculino,Cuatro pares de remos cortos masculino,
RO,M,083,14,Men's Eight,Huit de Pointe Homme,Oito com masculino,Ocho con timonel masculino,Men's Eight,Huit de Pointe avec Barreur Homme,Oito com masculino,Ocho con timonel masculino,
RO,M,122,9,Lightweight Men's Double Sculls,Deux de Couple Homme Poids Léger,Double-skiff peso leve masculino,Doble par remos cortos ligero masculino,Lightweight Men's Double Sculls,Deux de Couple Homme Poids Léger,Double-skiff peso leve masculino,Doble par de remos cortos peso ligero masculino,
RO,M,141,10,Lightweight Men's Four,Quatre de Pointe Homme Poids Léger,Quatro sem peso leve masculino,Cuatro sin timonel ligero masculino,Lightweight Men's Four,Quatre de Pointe Homme Poids Léger,Quatro sem peso leve masculino,Cuatro sin timonel peso ligero masculino,
RO,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
RO,W,012,6,Women's Single Sculls,Skiff Femme,Single-skiff feminino,Un par de remos cortos femenino,Women's Single Sculls,Skiff Femme,Single-skiff feminino,Un par de remos cortos femenino,
RO,W,021,1,Women's Pair,Deux de Pointe Femme,Dois sem feminino,Dos sin timonel femenino,Women's Pair,Deux de Pointe Sans Barreur Femme,Dois sem feminino,Dos sin timonel femenino,
RO,W,022,3,Women's Double Sculls,Deux de Couple Femme,Double-skiff feminino,Doble par de remos cortos femenino,Women's Double Sculls,Deux de Couple Femme,Double-skiff feminino,Doble par de remos cortos femenino,
RO,W,042,11,Women's Quadruple Sculls,Quatre de Couple Femme,Four-skiff feminino,Cuatro pares de remos cortos femenino,Women's Quadruple Sculls,Quatre de Couple Femme,Four-skiff feminino,Cuatro pares de remos cortos femenino,
RO,W,083,13,Women's Eight,Huit de Pointe Femme,Oito com feminino,Ocho con timonel femenino,Women's Eight,Huit de Pointe avec Barreur Femme,Oito com feminino,Ocho con timonel femenino,
RO,W,122,8,Lightweight Women's Double Sculls,Deux de Couple Femme Poids Léger,Double-skiff peso leve feminino,Doble par remos cortos ligero femenino,Lightweight Women's Double Sculls,Deux de Couple Femme Poids Léger,Double-skiff peso leve feminino,Doble par de remos cortos peso ligero femenino,
RU,0,000,,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby a siete,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby a siete,
RU,0,DES,,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,
RU,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
RU,M,407,1,Men's Rugby Sevens,Rugby à 7 - hommes,Rugby de 7 masculino,Rugby a siete masculino,Men's Rugby Sevens,Rugby à 7 - hommes,Rugby de 7 masculino,Rugby a siete masculino,Y
RU,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
RU,W,407,2,Women's Rugby Sevens,Rugby à 7 - femmes,Rugby de 7 feminino,Rugby a siete femenino,Women's Rugby Sevens,Rugby à 7 - femmes,Rugby de 7 feminino,Rugby a siete femenino,Y
SA,0,000,,Sailing,Voile,Vela,Vela,Sailing,Voile,Vela,Vela,
SA,0,GLO,,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,
SA,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
SA,M,002,5,Finn Men,Finn - hommes,Finn masculino,Finn masculino,Finn Men,Finn - hommes,Finn masculino,Finn masculino,
SA,M,004,3,Laser Men,Laser - hommes,Laser masculino,Láser masculino,Laser Men,Laser - hommes,Laser masculino,Láser masculino,
SA,M,005,6,470 Men,470 - hommes,470 masculino,470 masculino,470 Men,470 - hommes,470 masculino,470 masculino,
SA,M,009,8,49er Men,49er - hommes,49er masculino,49er masculino,49er Men,49er - hommes,49er masculino,49er masculino,
SA,M,102,1,RS:X Men,RS:X - hommes,RS:X masculino,RS:X masculino,RS:X Men,RS:X - hommes,RS:X masculino,RS:X masculino,
SA,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
SA,W,005,7,470 Women,470 - femmes,470 feminino,470 femenino,470 Women,470 - femmes,470 feminino,470 femenino,
SA,W,019,9,49er FX Women,49er FX - femmes,49er FX feminino,49er FX femenino,49er FX Women,49er FX - femmes,49er FX feminino,49er FX femenino,
SA,W,102,2,RS:X Women,RS:X - femmes,RS:X feminino,RS:X femenino,RS:X Women,RS:X - femmes,RS:X feminino,RS:X femenino,
SA,W,103,4,Laser Radial Women,Laser radial - femmes,Laser Radial feminino,Láser radial femenino,Laser Radial Women,Laser radial - femmes,Laser Radial feminino,Láser radial femenino,
SA,X,016,10,Nacra 17 Mixed,Nacra 17 - mixte,Nacra 17 misto,Nacra 17 mixto,Nacra 17 Mixed,Nacra 17 - mixte,Nacra 17 misto,Nacra 17 mixto,
SH,0,000,,Shooting,Tir,Tiro esportivo,Tiro,Shooting,Tir,Tiro esportivo,Tiro,
SH,0,OSC,,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,
