Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,ENG phase Description,FRA phase Description,POR phase Description,SPA phase Description
MP,W,001,N,7,Women's Individual - Riding Draw,Épr. ind. fem.-Tirage au sort Équitation,Comp. ind. fem. - Sorteio do Hipismo ,Comp. ind. femenina - Sorteo Ecuestre,Women's Individual - Riding Draw,Épreuve individuelle femmes - Tirage au sort Équitation,Competição individual feminina - Sorteio do Hipismo,Competencia individual femenina - Sorteo de Ecuestre,Draw,Tirage au sort,Sorteio,Sorteo
OV,0,CFH,0,8,Coffee House,Café,Café,Café,Coffee House,Café,Café,Café,,,,
OV,0,CLB,0,8,Club,Club,Clube,Club,Club,Club,Clube,Club,,,,
OV,0,ENP,0,8,Entertainment Programme,Programme de divertissement,Programa de Entretenimento,Programa de entretenimiento,Entertainment Programme,Programme de divertissement,Programa de Entretenimento,Programa de entretenimiento,,,,
OV,0,IFC,0,8,Interfaith Centre,Centre Ecuménique,Centro inter-religioso,Centro ecuménico,Interfaith Centre,Centre Ecuménique,Centro inter-religioso,Centro ecuménico,,,,
OV,0,IOC,0,8,IOC Athletes' Commission Election,Élection Commission des Athlètes du CIO,Eleição da comissão de atletas do COI,Elección de la Comisión de Atletas COI,IOC Athletes' Commission Election,Élection Commission des Athlètes du CIO,Eleição da comissão de atletas do COI,Elección de la Comisión de Atletas COI,,,,
OV,0,SPE,0,8,Special Events,Évènements spéciaux,Eventos especiais,Eventos especiales,Special Events,Évènements spéciaux,Eventos especiais,Eventos especiales,,,,
OV,0,TEA,0,8,Team Welcome Ceremonies,Cérémonies d'accueil des équipes,Cerimônias de boas-vindas às equipes,Ceremonias de bienvenida de los equipos,Team Welcome Ceremonies,Cérémonies d'accueil des équipes,Cerimônias de boas-vindas às equipes,Ceremonias de bienvenida de los equipos,,,,
OV,0,THR,0,8,Theatre,Théâtre,Teatro,Teatro,Theatre,Théâtre,Teatro,Teatro,,,,
OV,0,VTG,0,8,IOC Voting,Vote du CIO,Votação do COI,Votación del COI,IOC Voting,Vote du CIO,Votação do COI,Votación del COI,,,,
OW,0,000,0,8,Marathon Swimming,Natation de marathon,Maratonas aquáticas,Aguas abiertas,Marathon Swimming,Natation de marathon,Maratonas aquáticas,Aguas abiertas,,,,
OW,0,000,Q,4,Marathon Swimming technical meeting,Natation de marathon - réunion technique,Maratonas aquáticas - reunião técnica,Aguas abiertas - reunión técnica,Marathon Swimming technical meeting,Natation de marathon - réunion technique,Maratonas aquáticas - reunião técnica,Aguas abiertas - reunión técnica,,,,
OW,0,FTC,0,8,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,,,,
OW,M,000,0,8,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,,,,
OW,M,010,0,8,Men's 10km,10 km - hommes,10km masculina,10km masculino,Men's 10km,10 km - hommes,10km masculina,10km masculino,,,,
OW,M,010,1,3,Men's 10km,10 km - hommes,10km masculina,10km masculino,Men's 10km,10 km - hommes,10km masculina,10km masculino,,,,
OW,M,010,M,6,Men's 10km Victory Ceremony,"10 km - hommes, remise des médailles","10km masculina, cerimônia de premiação","10km masculino, cer. de medallas",Men's 10km Victory Ceremony,"10 km - hommes, cérémonie de remise des médailles","10km masculina, cerimônia de entrega das medalhas","10km masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
OW,W,000,0,8,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,"","","",
OW,W,010,0,8,Women's 10km,10 km - femmes,10km feminina,10km femenino,Women's 10km,10 km - femmes,10km feminina,10km femenino,"","","",
OW,W,010,1,3,Women's 10km,10 km - femmes,10km feminina,10km femenino,Women's 10km,10 km - femmes,10km feminina,10km femenino,"","","",
OW,W,010,M,6,Women's 10km Victory Ceremony,"10 km - femmes, remise des médailles","10km feminina, cerimônia de premiação","10km femenino, cer. de medallas",Women's 10km Victory Ceremony,"10 km - femmes, cérémonie de remise des médailles","10km feminina, cerimônia de entrega das medalhas","10km femenino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
PC,0,AR0,0,5,Archery Press Conference,Conférence de presse - tir à l'arc,Coletiva de imprensa - Tiro com arco,Conferencia de Prensa - Tiro con arco,Japanese Archery Team Press Conference,Conférence de presse - tir à l'arc,Coletiva de imprensa - Tiro com arco,Conferencia de prensa - Tiro con arco,,,,
PC,0,AT0,0,5,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,Conferencia de Prensa - Atletismo,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,Conferencia de Prensa - Atletismo,,,,
PC,0,BD0,0,5,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,Conferencia de Prensa - Bádminton,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,Conferencia de Prensa - Bádminton,,,,
PC,0,BK0,0,5,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,Conferencia de Prensa - Baloncesto,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,Conferencia de Prensa - Baloncesto,,,,
PC,0,BV0,0,5,Beach Volleyball Press Conference,Conférence de presse - volleyball plage,Coletiva de imprensa - Vôlei de praia,Conf. de Prensa - Voleibol de playa,Beach Volleyball Press Conference,Conférence de presse - volleyball de plage,Coletiva de imprensa - Vôlei de praia,Conferencia de Prensa - Voleibol de playa,,,,
PC,0,BX0,0,5,Boxing Press Conference - Final,Conférence de presse - boxe,Coletiva de imprensa - Boxe,Conferencia de Prensa - Boxeo,Boxing Press Conference - Final,Conférence de presse - boxe,Coletiva de imprensa - Boxe,Conferencia de Prensa - Boxeo,,,,
PC,0,CB0,0,8,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,Conferencia de Prensa - Ciclismo BMX,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,Conferencia de Prensa - Ciclismo BMX,,,,
PC,0,CF0,0,5,CF Press Conference,"Conf. de presse - canoë-kayak, ligne",Coletiva de imprensa-Canoagem velocidade,Conferencia de Prensa - CF,CF Press Conference,"Conférence de presse - canoë-kayak, course en ligne",Coletiva de imprensa - Canoagem velocidade,Conferencia de Prensa - Canotaje de velocidad,,,,
PC,0,CM0,0,5,CM Bike Press Conference,Conférence de presse - mountain bike,Coletiva de imprensa - Mountain bike,Conferencia de Prensa - CM,CM Bike Press Conference,Conférence de presse - cyclisme mountain bike,Coletiva de imprensa - Mountain bike,Conferencia de Prensa - Ciclismo de montaña,,,,
PC,0,CR0,0,5,CR Press Conference,Conférence de presse - cyclisme route,Coletiva de imprensa-Ciclismo de estrada,Conferencia de Prensa - CR,CR Press Conference,Conférence de presse - cyclisme sur route,Coletiva de imprensa - Ciclismo de estrada,Conferencia de Prensa - Ciclismo de ruta,,,,
PC,0,CS0,0,5,CS Press Conference,"Conf. de presse - canoë-kayak, slalom",Coletiva de imprensa - Canoagem slalom,Conferencia de Prensa - Canotaje Slalom,CS Press Conference,Conférence de presse - canoë-kayak slalom,Coletiva de imprensa - Canoagem slalom,Conferencia de Prensa - Canotaje Slalom,,,,
PC,0,CT0,0,5,CT Press Conference,Conférence de presse - cyclisme piste,Coletiva de imprensa - Ciclismo de pista,Conferencia de Prensa - CT,CT Press Conference,Conférence de presse - cyclisme sur piste,Coletiva de imprensa - Ciclismo de pista,Conferencia de Prensa - Ciclismo de pista,,,,
PC,0,DV0,0,5,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa -Saltos ornamentais,Conferencia de Prensa - Clavados,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa - Saltos ornamentais,Conferencia de Prensa - Clavados,,,,
PC,0,EQ0,0,5,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,Conferencia de Prensa - Ecuestre,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,Conferencia de Prensa - Ecuestre,,,,
PC,0,FB0,0,5,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,Conferencia de Prensa - Fútbol,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,Conferencia de Prensa - Fútbol,,,,
PC,0,FE0,0,5,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,Conferencia de Prensa - Esgrima,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,Conferencia de Prensa - Esgrima,,,,
PC,0,GA0,0,5,GA Press Conference,Conférence de presse - gym. artistique,Coletiva de imprensa-Ginástica artística,Conferencia de Prensa - GA,GA Press Conference,Conférence de presse - gymnastique artistique,Coletiva de imprensa - Ginástica artística,Conferencia de Prensa - Gimnasia artística,,,,
PC,0,GEN,0,8,General,Général,Geral,General,General,Général,Geral,General,,,,
PC,0,GEN,1,8,Australian Olympic Committee,Comité Olympique australien,Comitê Olímpico Australiano,Comité Olímpico Australiano,Australian Olympic Committee,Comité Olympique australien,Comitê Olímpico Australiano,Comité Olímpico Australiano,,,,
PC,0,GEN,2,8,Spanish Olympic Committee,Comité Olympique espagnol,Comitê Olímpico Espanhol,Comité Olímpico Español,Spanish Olympic Committee,Comité Olympique espagnol,Comitê Olímpico Espanhol,Comité Olímpico Español,,,,
PC,0,GEN,3,8,US Olympic Committee,Comité Olympique des États-Unis,Comitê Olímpico dos EUA,Comité Olímpico de EEUU,US Olympic Committee,Comité Olympique des États-Unis,Comitê Olímpico dos Estados Unidos ,Comité Olímpico de EEUU,,,,
PC,0,GEN,6,8,World Anti-Doping Agency,Agence Mondiale Antidopage,Agência Mundial Antidoping,Agencia Mundial Antidopaje,World Anti-Doping Agency,Agence Mondiale Antidopage,Agência Mundial Antidoping,Agencia Mundial Antidopaje,,,,
PC,0,GEN,7,8,General Press Conference,Conférence de presse générale,Coletiva de imprensa - Geral,Conferencia de Prensa - General,General Press Conference,Conférence de presse générale,Coletiva de Imprensa - Geral,Conferencia de Prensa - General,,,,
PC,0,GEN,9,8,Slovak Olympic Committee,Comité Olympique slovaque,Comitê Olímpico da Eslováquia,Comité Olímpico Eslovaco,Slovak Olympic Committee,Comité Olympique slovaque,Comitê Olímpico da Eslováquia,Comité Olímpico Eslovaco,,,,
PC,0,GEN,A,8,Japanese Olympic Committee,Comité Olympique japonais,Comitê Olímpico Japonês,Comité Olímpico Japonés,Japanese Olympic Committee,Comité Olympique japonais,Comitê Olímpico Japonês,Comité Olímpico Japonés,,,,
PC,0,GEN,B,8,Korean Olympic Committee,Comité Olympique sud-coréen,Comitê Olímpico da Coreia do Sul,Comité Olímpico Coreano,Korean Olympic Committee,Comité Olympique sud-coréen,Comitê Olímpico da Coreia do Sul ,Comité Olímpico Coreano,,,,
PC,0,GEN,C,8,Belgian Olympic Committee,Comité Olympique et Interfédéral Belge,Comitê Olímpico da Bélgica,Comité Olímpico Interfederal Belga,Belgian Olympic Committee,Comité Olympique et Interfédéral Belge,Comitê Olímpico da Bélgica,Comité Olímpico Interfederal Belga,,,,
PC,0,GEN,D,8,New Zealand Olympic Committee,Comité olympique de Nouvelle-Zélande,Comitê Olímpico da Nova Zelândia,Comité Olímpico de Nueva Zelanda,New Zealand Olympic Committee,Comité olympique de Nouvelle-Zélande,Comitê Olímpico da Nova Zelândia,Comité Olímpico de Nueva Zelanda,,,,
PC,0,GEN,E,8,British Olympic Association,Association olympique britannique,Associação Olímpica Britânica,Asociación Olímpica Británica,British Olympic Association,Association olympique britannique,Associação Olímpica Britânica,Asociación Olímpica Británica,,,,
PC,0,GEN,F,8,Serbian Olympic Committee,Comité Olympique de Serbie,Comitê Olímpico Sérvio,Comité Olímpico de Serbia,Serbian Olympic Committee,Comité Olympique de Serbie,Comitê Olímpico Sérvio ,Comité Olímpico de Serbia,,,,
PC,0,GEN,G,8,Luxembourg Olympic Committee,Comité Olympique Sportif Luxembourgeois,Comitê Olímpico de Luxemburgo,Comité Olímpico y Deportivo Luxemburgués,Luxembourg Olympic Committee,Comité Olympique Sportif Luxembourgeois,Comitê Olímpico de Luxemburgo ,Comité Olímpico y Deportivo Luxemburgués,,,,
PC,0,GEN,H,8,Danish Olympic Committee,Comité olympique danois,Comitê Olímpico Dinamarquês,Comité Olímpico Danés,Danish Olympic Committee,Comité olympique danois,Comitê Olímpico Dinamarquês ,Comité Olímpico Danés,,,,
PC,0,GO0,0,5,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,Conferencia de Prensa - Golf,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,Conferencia de Prensa - Golf,,,,
PC,0,GR0,0,5,GR Press Conference,Conférence de presse -  gym. rythmique,Coletiva de imprensa - Ginástica rítmica,Conferencia de Prensa - GR,GR Press Conference,Conférence de presse -  gymnastique rythmique,Coletiva de imprensa - Ginástica rítmica,Conferencia de Prensa - Gimnasia rítmica,,,,
PC,0,GT0,0,5,GT Press Conference,Conférence de presse -  trampoline,Coletiva de imprensa-Ginástica trampolim,Conferencia de Prensa - GT,GT Press Conference,Conférence de presse -  trampoline,Coletiva de imprensa - Ginástica de trampolim,Conferencia de Prensa - Gimnasia en trampolín,,,,
PC,0,HB0,0,5,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,Conferencia de Prensa - Balonmano,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,Conferencia de Prensa - Balonmano,,,,
PC,0,HO0,0,8,Hockey Press Conference,Conférence de presse - hockey,Coletiva de imprensa -Hóquei sobre grama,Conf. de Prensa - Hockey sobre césped,Japanese Women's Hockey Team Press Conference,Conférence de presse - hockey,Coletiva de imprensa - Hóquei sobre grama,Conferencia de prensa - Hockey sobre césped,,,,
PC,0,IOC,0,8,IOC/Rio2016 Press Briefing,Réunion de presse CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,Conferencia de Prensa - COI/Rio2016,IOC/Rio2016 Press Briefing,Réunion de presse CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,Conferencia de Prensa - COI/Rio2016,,,,
PC,0,IOC,2,8,IOC General,Plan général CIO,Geral COI,General COI,IOC General,Plan général CIO,Geral COI,General COI,,,,
PC,0,IOC,7,8,IOC Media Outreach Programme,Programme des opérations médias du CIO,Programa de operações de mídia do COI,Programa de op. de medios del COI,IOC Media Outreach Programme,Programme des opérations médias du CIO,Programa de operações de mídia do COI,Programa de operaciones de medios del COI,,,,
PC,0,JU0,0,5,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,Conferencia de Prensa - Judo,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,Conferencia de Prensa - Judo,,,,
PC,0,LOC,0,5,Rio2016 Press Conference,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,Conferencia de Prensa - Rio2016,Briefing with Rio2016 Spokesperson,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,Conferencia de Prensa - Rio2016,,,,
PC,0,MP0,0,5,MP Press Conference,Conf. de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,Conferencia de Prensa - MP,MP Press Conference,Conférence de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,Conferencia de Prensa - Pentatlón moderno,,,,
PC,0,OW0,0,5,Marathon Swimming Press Conference,Conf. de presse - natation de marathon,Coletiva de imprensa-Maratonas aquáticas,Conferencia de Prensa - Aguas abiertas,Marathon Swimming Press Conference,Conférence de presse - natation de marathon,Coletiva de imprensa - Maratonas aquáticas,Conferencia de Prensa - Aguas abiertas,,,,
PC,0,RO0,0,5,Rowing Press Conferences,Conférence de presse - aviron,Coletiva de imprensa - Remo,Conferencias de Prensa - Remo,Rowing Press Conferences,Conférence de presse - aviron,Coletiva de imprensa - Remo,Conferencias de Prensa - Remo,,,,
PC,0,RU0,0,5,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,Conferencia de Prensa - Rugby,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,Conferencia de Prensa - Rugby,,,,
PC,0,SA0,0,5,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,Conferencia de Prensa - Vela,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,Conferencia de Prensa - Vela,,,,
PC,0,SH0,0,5,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,Conferencia de Prensa - Tiro,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,Conferencia de Prensa - Tiro,,,,
PC,0,SPO,0,5,Sponsor Press Conference,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,Conferencia de Prensa - Patrocinadores,Sponsor Press Conference,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,Conferencia de Prensa - Patrocinadores,,,,
PC,0,SW0,0,5,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,Conferencia de Prensa - Natación,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,Conferencia de Prensa - Natación,,,,
PC,0,SY0,0,5,SY Press Conference,Conf. de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,Conferencia de Prensa - SY,SY Press Conference,Conférence de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,Conferencia de Prensa - Nado sincronizado,,,,
PC,0,TE0,0,5,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,Conferencia de Prensa - Tenis,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,Conferencia de Prensa - Tenis,,,,
PC,0,TK0,0,5,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,Conferencia de Prensa - Taekwondo,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,Conferencia de Prensa - Taekwondo,,,,
PC,0,TR0,0,5,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,Conferencia de Prensa - Triatlón,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,Conferencia de Prensa - Triatlón,,,,
PC,0,TT0,0,5,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,Conferencia de Prensa - Tenis de mesa,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,Conferencia de Prensa - Tenis de mesa,,,,
PC,0,VO0,0,5,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,Conferencia de Prensa - Voleibol,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,Conferencia de Prensa - Voleibol,,,,
PC,0,WL0,0,5,WL Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento peso,Conferencia de Prensa - WL,WL Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento de peso,Conferencia de Prensa - Levantamiento de pesas,,,,
PC,0,WP0,0,5,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,Conferencia de Prensa - Polo acuático,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,Conferencia de Prensa - Polo acuático,,,,
PC,0,WR0,0,5,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,Conferencia de Prensa - Lucha,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,Conferencia de Prensa - Lucha,,,,
RO,0,000,0,8,Rowing,Aviron,Remo,Remo,Rowing,Aviron,Remo,Remo,,,,
RO,0,000,N,7,Rowing Draw,"Aviron, tirage au sort","Remo, sorteio","Remo, sorteo",Rowing Draw,"Aviron, tirage au sort","Remo, sorteio","Remo, sorteo",,,,
RO,0,000,Q,4,Rowing Team Managers Meeting,Aviron - réunion des directeurs d'équipe,Remo - reunião dos chefes de equipe,Remo - reunión de jefes de equipo,Rowing Team Managers Meeting,Aviron - réunion des directeurs d'équipe,Remo - reunião dos chefes de equipe,Remo - reunión de jefes de equipo,,,,
RO,0,000,Y,8,Rowing Daily Schedule,"Aviron, calendrier par jour","Remo, programação diária","Remo, programa diario",Rowing Daily Schedule,"Aviron, calendrier par jour","Remo, programação diária","Remo, programa diario",,,,
RO,0,000,Z,8,Rowing - Session,Aviron - session,Remo - sessão,Remo - Sesión,Rowing - Session,Aviron - session,Remo - sessão,Remo - Sesión,,,,
RO,0,LAG,0,8,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,,,,
RO,M,000,0,8,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,,,,
RO,M,012,0,8,Men's Single Sculls,Skiff Homme,Single-skiff masculino,Un par de remos cortos masculino,Men's Single Sculls,Skiff Homme,Single-skiff masculino,Un par de remos cortos masculino,,,,
RO,M,012,1,3,Men's Single Sculls Finals,"Skiff Homme, finales","Single-skiff masculino, finais","Un par de remos cortos masc, finales",Men's Single Sculls Finals,"Skiff Homme, finales","Single-skiff masculino, finais","Un par de remos cortos masculino, finales",Finals,Finales,Finais,Finales
RO,M,012,2,3,Men's Single Sculls Semifinals,"Skiff Homme, demi-finales","Single-skiff masculino, semifinais","Un par de remos cortos masc, semifinales",Men's Single Sculls Semifinals,"Skiff Homme, demi-finales","Single-skiff masculino, semifinais","Un par de remos cortos masculino, semifinales",Semifinals,Demi-finales,Semifinal,Semifinales
RO,M,012,3,3,Men's Single Sculls Quarterfinals,"Skiff Homme, quarts de finale","Single-skiff masculino, quartas de final","Un par de remos cortos masc, 1/4 final",Men's Single Sculls Quarterfinals,"Skiff Homme, quarts de finale","Single-skiff masculino, quartas de final","Un par de remos cortos masculino, cuartos de final",Quarterfinals,Quarts de finale,Quartas de Final,Cuartos de final
RO,M,012,8,3,Men's Single Sculls Repechages,"Skiff Homme, repêchages","Single-skiff masculino, repescagens","Un par de remos cortos masc, repescas",Men's Single Sculls Repechages,"Skiff Homme, repêchages","Single-skiff masculino, repescagens","Un par de remos cortos masculino, repescas",Repechages,Repêchages,Repescagens,Repescas
RO,M,012,9,3,Men's Single Sculls Heats,"Skiff Homme, éliminatoires","Single-skiff masculino, eliminatórias","Un par remos cortos masc, mangas elim.",Men's Single Sculls Heats,"Skiff Homme, éliminatoires","Single-skiff masculino, eliminatórias","Un par de remos cortos masculino, mangas eliminatorias",Heats,Éliminatoires,Eliminatórias,Mangas eliminatorias
RO,M,012,M,6,Men's Single Sculls Victory Ceremony,"Skiff Homme, remise des médailles","Single-skiff masculino, cer. premiação","Un par remos cortos masc, cer. medallas",Men's Single Sculls Victory Ceremony,"Skiff Homme, cérémonie de remise des médailles","Single-skiff masculino, cerimônia de entrega das medalhas","Un par de remos cortos masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
RO,M,012,P,3,Men's Single Sculls Pre. Race for Ln,"Skiff Homme, prélim. couloirs","Single-skiff masc, baterias classific","Un par remos cortos masc, prelim. calles",Men's Single Sculls Preliminary Race for Lanes,"Skiff Homme, course préliminaire pour les couloirs","Single-skiff masculino, baterias classificatórias","Un par de remos cortos masculino, regata preliminar para calles",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias,Regata preliminar para calles
RO,M,021,0,8,Men's Pair,Deux de Pointe Homme,Dois sem masculino ,Dos sin timonel masculino,Men's Pair,Deux de Pointe Sans Barreur Homme,Dois sem masculino ,Dos sin timonel masculino,"","","",
RO,M,021,1,3,Men's Pair Finals,"Deux de Pointe Homme, finales","Dois sem masculino, finais","Dos sin timonel masculino, finales",Men's Pair Finals,"Deux de Pointe Sans Barreur Homme, finales","Dois sem masculino, finais","Dos sin timonel masculino, finales",Finals,Finales,Finais,Finales
RO,M,021,2,3,Men's Pair Semifinals,"Deux de Pointe Homme, 1/2 finales","Dois sem masculino, semifinais","Dos sin timonel masculino, semifinales",Men's Pair Semifinals,"Deux de Pointe Sans Barreur Homme, demi-finales","Dois sem masculino, semifinais","Dos sin timonel masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
RO,M,021,3,3,Men's Pair Quarterfinals,"Deux de Pointe Homme, 1/4 finale","Dois sem masculino, quartas de final ","Dos sin timonel masculino, 1/4 final",Men's Pair Quarterfinals,"Deux de Pointe Sans Barreur Homme, quarts de finale","Dois sem masculino, quartas de final ","Dos sin timonel masculino, cuartos de final",Quarterfinals,Quarts de finale,Quartas de Final,Cuartos de final
RO,M,021,8,3,Men's Pair Repechages,"Deux de Pointe Homme, repêchages","Dois sem masculino, repescagens","Dos sin timonel masculino, repescas",Men's Pair Repechages,"Deux de Pointe Sans Barreur Homme, repêchages","Dois sem masculino, repescagens","Dos sin timonel masculino, repescas",Repechages,Repêchages,Repescagens,Repescas
RO,M,021,9,3,Men's Pair Heats,"Deux de Pointe Homme, éliminatoires","Dois sem masculino, eliminatórias","Dos sin timonel masculino, mangas elim.",Men's Pair Heats,"Deux de Pointe Sans Barreur Homme, éliminatoires","Dois sem masculino, eliminatórias","Dos sin timonel masculino, mangas eliminatorias",Heats,Éliminatoires,Eliminatórias,Mangas eliminatorias
RO,M,021,M,6,Men's Pair Victory Ceremony,"Deux de Pointe Homme, remise médailles","Dois sem masculino, cer. premiação","Dos sin timonel masculino, cer. medallas",Men's Pair Victory Ceremony,"Deux de Pointe Sans Barreur Homme, cérémonie de remise des médailles","Dois sem masculino, cerimônia de entrega das medalhas","Dos sin timonel masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
RO,M,021,P,3,Men's Pair Pre. Race for Ln,"Deux de Pointe Homme, prélim. couloirs","Dois sem masc, baterias classificatórias","Dos sin timonel masculino, prelim calles",Men's Pair Preliminary Race for Lanes,"Deux de Pointe Sans Barreur Homme, course préliminaire pour les couloirs","Dois sem masculino, baterias classificatórias","Dos sin timonel masculino, regata preliminar para calles",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias,Regata preliminar para calles
RO,M,022,0,8,Men's Double Sculls,Deux de Couple Homme,Double-skiff masculino,Doble par de remos cortos masculino,Men's Double Sculls,Deux de Couple Homme,Double-skiff masculino,Doble par de remos cortos masculino,"","","",
RO,M,022,1,3,Men's Double Sculls Finals,"Deux de Couple Homme, finales","Double-skiff masculino, finais","Doble par remos cortos masc, finales",Men's Double Sculls Finals,"Deux de Couple Homme, finales","Double-skiff masculino, finais","Doble par de remos cortos masculino, finales",Finals,Finales,Finais,Finales
RO,M,022,2,3,Men's Double Sculls Semifinals,"Deux de Couple Homme, 1/2 finales","Double-skiff masculino, semifinais","Doble par remos cortos masc, semifinales",Men's Double Sculls Semifinals,"Deux de Couple Homme, demi-finales","Double-skiff masculino, semifinais","Doble par de remos cortos masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
RO,M,022,3,3,Men's Double Sculls Quarterfinals,"Deux de Couple Homme, 1/4 finale","Double-skiff masculino, quartas de final","Doble par remos cortos masc, 1/4 final",Men's Double Sculls Quarterfinals,"Deux de Couple Homme, quarts de finale","Double-skiff masculino, quartas de final","Doble par de remos cortos masculino, cuartos de final",Quarterfinals,Quart de finale,Quartas de Final,Cuartos de final
