Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,ENG phase Description,FRA phase Description,POR phase Description
PC,0,AT0,0,5,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,Athletics Press Conference,Conférence de presse - athlétisme,Coletiva de imprensa - Atletismo,,,
PC,0,BD0,0,5,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,Badminton Press Conference,Conférence de presse - badminton,Coletiva de imprensa - Badminton,,,
PC,0,BK0,0,5,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,Basketball Press Conference,Conférence de presse - basketball,Coletiva de imprensa - Basquetebol,,,
PC,0,BV0,0,5,Beach Volleyball Press Conference,Conférence de presse - volleyball plage,Coletiva de imprensa - Vôlei de praia,Beach Volleyball Press Conference,Conférence de presse - volleyball de plage,Coletiva de imprensa - Vôlei de praia,,,
PC,0,BX0,0,5,Boxing Press Conference - Final,Conférence de presse - boxe,Coletiva de imprensa - Boxe,Boxing Press Conference - Final,Conférence de presse - boxe,Coletiva de imprensa - Boxe,,,
PC,0,CB0,0,8,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,Cycling BMX Media Conference,Conférence de presse - BMX,Coletiva de imprensa - Ciclismo BMX,,,
PC,0,CF0,0,5,CF Press Conference,"Conf. de presse - canoë-kayak, ligne",Coletiva de imprensa-Canoagem velocidade,CF Press Conference,"Conférence de presse - canoë-kayak, course en ligne",Coletiva de imprensa - Canoagem velocidade,,,
PC,0,CM0,0,5,CM Bike Press Conference,Conférence de presse - mountain bike,Coletiva de imprensa - Mountain bike,CM Bike Press Conference,Conférence de presse - cyclisme mountain bike,Coletiva de imprensa - Mountain bike,,,
PC,0,CR0,0,5,CR Press Conference,Conférence de presse - cyclisme route,Coletiva de imprensa-Ciclismo de estrada,CR Press Conference,Conférence de presse - cyclisme sur route,Coletiva de imprensa - Ciclismo de estrada,,,
PC,0,CS0,0,5,CS Press Conference,"Conf. de presse - canoë-kayak, slalom",Coletiva de imprensa - Canoagem slalom,CS Press Conference,Conférence de presse - canoë-kayak slalom,Coletiva de imprensa - Canoagem slalom,,,
PC,0,CT0,0,5,CT Press Conference,Conférence de presse - cyclisme piste,Coletiva de imprensa - Ciclismo de pista,CT Press Conference,Conférence de presse - cyclisme sur piste,Coletiva de imprensa - Ciclismo de pista,,,
PC,0,DV0,0,5,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa -Saltos ornamentais,Diving Press Conference,Conférence de presse - plongeon,Coletiva de imprensa - Saltos ornamentais,,,
PC,0,EQ0,0,5,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,Equestrian Press Conference,Conférence de presse - sports équestres,Coletiva de imprensa - Hipismo,,,
PC,0,FB0,0,5,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,Football Press Conference,Conférence de presse - football,Coletiva de imprensa - Futebol,,,
PC,0,FE0,0,5,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,Fencing Press Conference,Conférence de presse - escrime,Coletiva de imprensa - Esgrima,,,
PC,0,GA0,0,5,GA Press Conference,Conférence de presse - gym. artistique,Coletiva de imprensa-Ginástica artística,GA Press Conference,Conférence de presse - gymnastique artistique,Coletiva de imprensa - Ginástica artística,,,
PC,0,GEN,0,8,General,Général,Geral,General,Général,Geral,,,
PC,0,GEN,1,8,Australian Olympic Committee,Comité Olympique australien,Comitê Olímpico Australiano,Australian Olympic Committee,Comité Olympique australien,Comitê Olímpico Australiano,,,
PC,0,GEN,2,8,Spanish Olympic Committee,Comité Olympique espagnol,Comitê Olímpico Espanhol,Spanish Olympic Committee,Comité Olympique espagnol,Comitê Olímpico Espanhol,,,
PC,0,GEN,3,8,US Olympic Committee,Comité Olympique des États-Unis,Comitê Olímpico dos EUA,US Olympic Committee,Comité Olympique des États-Unis,Comitê Olímpico dos Estados Unidos ,,,
PC,0,GEN,6,8,World Anti-Doping Agency,Agence Mondiale Antidopage,Agência Mundial Antidoping,World Anti-Doping Agency,Agence Mondiale Antidopage,Agência Mundial Antidoping,,,
PC,0,GEN,7,8,General Press Conference,Conférence de presse générale,Coletiva de imprensa - Geral,General Press Conference,Conférence de presse générale,Coletiva de Imprensa - Geral,,,
PC,0,GEN,9,8,Slovak Olympic Committee,Comité Olympique slovaque,Comitê Olímpico da Eslováquia,Slovak Olympic Committee,Comité Olympique slovaque,Comitê Olímpico da Eslováquia,,,
PC,0,GEN,A,8,Japanese Olympic Committee,Comité Olympique japonais,Comitê Olímpico Japonês,Japanese Olympic Committee,Comité Olympique japonais,Comitê Olímpico Japonês,,,
PC,0,GEN,B,8,Korean Olympic Committee,Comité Olympique sud-coréen,Comitê Olímpico da Coreia do Sul,Korean Olympic Committee,Comité Olympique sud-coréen,Comitê Olímpico da Coreia do Sul ,,,
PC,0,GEN,C,8,Belgian Olympic Committee,Comité Olympique et Interfédéral Belge,Comitê Olímpico da Bélgica,Belgian Olympic Committee,Comité Olympique et Interfédéral Belge,Comitê Olímpico da Bélgica,,,
PC,0,GEN,D,8,New Zealand Olympic Committee,Comité olympique de Nouvelle-Zélande,Comitê Olímpico da Nova Zelândia,New Zealand Olympic Committee,Comité olympique de Nouvelle-Zélande,Comitê Olímpico da Nova Zelândia,,,
PC,0,GEN,E,8,British Olympic Association,Association olympique britannique,Associação Olímpica Britânica,British Olympic Association,Association olympique britannique,Associação Olímpica Britânica,,,
PC,0,GEN,F,8,Serbian Olympic Committee,Comité Olympique de Serbie,Comitê Olímpico Sérvio,Serbian Olympic Committee,Comité Olympique de Serbie,Comitê Olímpico Sérvio ,,,
PC,0,GEN,G,8,Luxembourg Olympic Committee,Comité Olympique Sportif Luxembourgeois,Comitê Olímpico de Luxemburgo,Luxembourg Olympic Committee,Comité Olympique Sportif Luxembourgeois,Comitê Olímpico de Luxemburgo ,,,
PC,0,GEN,H,8,Danish Olympic Committee,Comité olympique danois,Comitê Olímpico Dinamarquês,Danish Olympic Committee,Comité olympique danois,Comitê Olímpico Dinamarquês ,,,
PC,0,GO0,0,5,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,Golf Press Conference,Conférence de presse - Golf,Coletiva de imprensa - Golfe,,,
PC,0,GR0,0,5,GR Press Conference,Conférence de presse -  gym. rythmique,Coletiva de imprensa - Ginástica rítmica,GR Press Conference,Conférence de presse -  gymnastique rythmique,Coletiva de imprensa - Ginástica rítmica,,,
PC,0,GT0,0,5,GT Press Conference,Conférence de presse -  trampoline,Coletiva de imprensa-Ginástica trampolim,GT Press Conference,Conférence de presse -  trampoline,Coletiva de imprensa - Ginástica de trampolim,,,
PC,0,HB0,0,5,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,Handball Press Conference,Conférence de presse - handball,Coletiva de imprensa - Handebol,,,
PC,0,HO0,0,8,Hockey Press Conference,Conférence de presse - hockey,Coletiva de imprensa -Hóquei sobre grama,Japanese Women's Hockey Team Press Conference,Conférence de presse - hockey,Coletiva de imprensa - Hóquei sobre grama,,,
PC,0,IOC,0,8,IOC/Rio2016 Press Briefing,Réunion de presse CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,IOC/Rio2016 Press Briefing,Réunion de presse CIO/Rio2016,Coletiva de imprensa - COI/Rio2016,,,
PC,0,IOC,2,8,IOC General,Plan général CIO,Geral COI,IOC General,Plan général CIO,Geral COI,,,
PC,0,IOC,7,8,IOC Media Outreach Programme,Programme des opérations médias du CIO,Programa de operações de mídia do COI,IOC Media Outreach Programme,Programme des opérations médias du CIO,Programa de operações de mídia do COI,,,
PC,0,JU0,0,5,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,Judo Press Conference,Conférence de presse - judo,Coletiva de imprensa - Judô,,,
PC,0,LOC,0,5,Rio2016 Press Conference,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,Briefing with Rio2016 Spokesperson,Conférence de presse - Rio2016,Coletiva de imprensa - Rio2016,,,
PC,0,MP0,0,5,MP Press Conference,Conf. de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,MP Press Conference,Conférence de presse - pentathlon moderne,Coletiva de imprensa - Pentatlo moderno,,,
PC,0,RO0,0,5,Rowing Press Conferences,Conférence de presse - aviron,Coletiva de imprensa - Remo,Rowing Press Conferences,Conférence de presse - aviron,Coletiva de imprensa - Remo,,,
PC,0,RU0,0,5,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,Rugby Press Conference,Conférence de presse - Rugby,Coletiva de imprensa - Rugby,,,
PC,0,SA0,0,5,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,Sailing Press Conference,Conférence de presse - voile,Coletiva de imprensa - Vela,,,
PC,0,SH0,0,5,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,Shooting Press Conference,Conférence de presse - tir,Coletiva de imprensa - Tiro esportivo,,,
PC,0,SPO,0,5,Sponsor Press Conference,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,Sponsor Press Conference,Conférence de presse des partenaires,Coletiva de imprensa - Patrocinadores,,,
PC,0,SW0,0,5,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,Swimming Press Conference,Conférence de presse - natation,Coletiva de imprensa - Natação,,,
PC,0,SY0,0,5,SY Press Conference,Conf. de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,SY Press Conference,Conférence de presse - natation synchronisée,Coletiva de imprensa - Nado sincronizado,,,
PC,0,TE0,0,5,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,Tennis Press Conference,Conférence de presse - tennis,Coletiva de imprensa - Tênis,,,
PC,0,TK0,0,5,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,Taekwondo Press Conference,Conférence de presse - taekwondo,Coletiva de imprensa - Taekwondo,,,
PC,0,TR0,0,5,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,Triathlon Press Conference,Conférence de presse - triathlon,Coletiva de imprensa - Triatlo,,,
PC,0,TT0,0,5,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,Table Tennis Press Conference,Conférence de presse - tennis de table,Coletiva de imprensa - Tênis de mesa,,,
PC,0,VO0,0,5,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,Volleyball Press Conference,Conférence de presse - volleyball,Coletiva de imprensa - Voleibol,,,
PC,0,WL0,0,5,WL Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento peso,WL Press Conference,Conférence de presse - haltérophilie,Coletiva de imprensa - Levantamento de peso,,,
PC,0,WP0,0,5,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,Water Polo Press Conference,Conférence de presse - water-polo,Coletiva de imprensa - Polo aquático,,,
PC,0,WR0,0,5,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,Wrestling Press Conference,Conférence de presse - lutte,Coletiva de imprensa - Luta olímpica,,,
RO,0,000,0,8,Rowing,Aviron,Remo,Rowing,Aviron,Remo,,,
RO,0,000,N,7,Rowing Draw,"Aviron, tirage au sort","Remo, sorteio",Rowing Draw,"Aviron, tirage au sort","Remo, sorteio",,,
RO,0,000,Q,4,Rowing Team Managers Meeting,Aviron - réunion des directeurs d'équipe,Remo - reunião dos chefes de equipe,Rowing Team Managers Meeting,Aviron - réunion des directeurs d'équipe,Remo - reunião dos chefes de equipe,,,
RO,0,000,Y,8,Rowing Daily Schedule,"Aviron, calendrier par jour","Remo, programação diária",Rowing Daily Schedule,"Aviron, calendrier par jour","Remo, programação diária",,,
RO,0,000,Z,8,Rowing - Session,Aviron - session,Remo - sessão,Rowing - Session,Aviron - session,Remo - sessão,,,
RO,0,LAG,0,8,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,,,
RO,M,000,0,8,Men,Hommes,Masculino,Men,Hommes,Masculino,,,
RO,M,012,0,8,Men's Single Sculls,Skiff - hommes,Single-skiff masculino,Men's Single Sculls,"Un rameur, skiff - hommes",Single-skiff masculino,,,
RO,M,012,1,3,Men's Single Sculls Finals,"Skiff - hommes, finales","Single-skiff masculino, finais",Men's Single Sculls Finals,"Un rameur, skiff - hommes, finales","Single-skiff masculino, finais",Finals,Finales,Finais
RO,M,012,2,3,Men's Single Sculls Semifinals,"Skiff - hommes, demi-finales","Single-skiff masculino, semifinais",Men's Single Sculls Semifinals,"Un rameur, skiff - hommes, demi-finales","Single-skiff masculino, semifinais",Semifinals,Demi-finales,Semifinal
RO,M,012,3,3,Men's Single Sculls Quarterfinals,"Skiff - hommes, quarts de finale","Single-skiff masculino, quartas de final",Men's Single Sculls Quarterfinals,"Un rameur, skiff - hommes, quarts de finale","Single-skiff masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
RO,M,012,8,3,Men's Single Sculls Repechages,"Skiff - hommes, repêchages","Single-skiff masculino, repescagens",Men's Single Sculls Repechages,"Un rameur, skiff - hommes, repêchages","Single-skiff masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,012,9,3,Men's Single Sculls Heats,"Skiff - hommes, éliminatoires","Single-skiff masculino, eliminatórias",Men's Single Sculls Heats,"Un rameur, skiff - hommes, éliminatoires","Single-skiff masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,012,M,6,Men's Single Sculls Victory Ceremony,"Skiff - hommes, remise des médailles","Single-skiff masculino, cer. premiação",Men's Single Sculls Victory Ceremony,"Un rameur, skiff - hommes, cérémonie de remise des médailles","Single-skiff masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,012,P,3,Men's Single Sculls Pre. Race for Ln,"1 de couple - hommes, prélim. couloirs","Single-skiff masc, baterias classific",Men's Single Sculls Preliminary Race for Lanes,"Un de couple - hommes, course préliminaire pour les couloirs","Single-skiff masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,021,0,8,Men's Pair,2 en pointe - hommes,Dois sem masculino ,Men's Pair,Deux en pointe - hommes,Dois sem masculino ,"","",""
RO,M,021,1,3,Men's Pair Finals,"2 en pointe - hommes, finales","Dois sem masculino, finais",Men's Pair Finals,"Deux en pointe - hommes, finales","Dois sem masculino, finais",Finals,Finales,Finais
RO,M,021,2,3,Men's Pair Semifinals,"2 en pointe - hommes, 1/2 finales","Dois sem masculino, semifinais",Men's Pair Semifinals,"Deux en pointe - hommes, demi-finales","Dois sem masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,021,3,3,Men's Pair Quarterfinals,"2 en pointe - hommes, 1/4 finale","Dois sem masculino, quartas de final ",Men's Pair Quarterfinals,"Deux en pointe - hommes, quarts de finale","Dois sem masculino, quartas de final ",Quarterfinals,Quarts de finale,Quartas de Final
RO,M,021,8,3,Men's Pair Repechages,"2 en pointe - hommes, repêchages","Dois sem masculino, repescagens",Men's Pair Repechages,"Deux en pointe - hommes, repêchages","Dois sem masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,021,9,3,Men's Pair Heats,"2 en pointe - hommes, éliminatoires","Dois sem masculino, eliminatórias",Men's Pair Heats,"Deux en pointe - hommes, éliminatoires","Dois sem masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,021,M,6,Men's Pair Victory Ceremony,"2 en pointe - hommes, remise médailles","Dois sem masculino, cer. premiação",Men's Pair Victory Ceremony,"Deux en pointe - hommes, cérémonie de remise des médailles","Dois sem masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,021,P,3,Men's Pair Pre. Race for Ln,"2 de pointe - hommes, prélim. couloirs","Dois sem masc, baterias classificatórias",Men's Pair Preliminary Race for Lanes,"Deux de pointe - hommes, course préliminaire pour les couloirs","Dois sem masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,022,0,8,Men's Double Sculls,2 en couple - hommes,Double-skiff masculino,Men's Double Sculls,Deux en couple - hommes,Double-skiff masculino,"","",""
RO,M,022,1,3,Men's Double Sculls Finals,"2 en couple - hommes, finales","Double-skiff masculino, finais",Men's Double Sculls Finals,"Deux en couple - hommes, finales","Double-skiff masculino, finais",Finals,Finales,Finais
RO,M,022,2,3,Men's Double Sculls Semifinals,"2 en couple - hommes, 1/2 finales","Double-skiff masculino, semifinais",Men's Double Sculls Semifinals,"Deux en couple - hommes, demi-finales","Double-skiff masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,022,3,3,Men's Double Sculls Quarterfinals,"2 en couple - hommes, 1/4 finale","Double-skiff masculino, quartas de final",Men's Double Sculls Quarterfinals,"Deux en couple - hommes, quarts de finale","Double-skiff masculino, quartas de final",Quarterfinals,Quart de finale,Quartas de Final
RO,M,022,8,3,Men's Double Sculls Repechages,"2 en couple - hommes, repêchages","Double-skiff masculino, repescagens",Men's Double Sculls Repechages,"Deux en couple - hommes, repêchages","Double-skiff masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,022,9,3,Men's Double Sculls Heats,"2 en couple - hommes, éliminatoires","Double-skiff masculino, eliminatórias",Men's Double Sculls Heats,"Deux en couple - hommes, éliminatoires","Double-skiff masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,022,M,6,Men's Double Sculls Victory Ceremony,"2 en couple - hommes, remise médailles","Double-skiff masculino, cer. premiação",Men's Double Sculls Victory Ceremony,"Deux en couple - hommes, cérémonie de remise des médailles","Double-skiff masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,022,P,3,Men's Double Sculls Pre. Race for Ln,"2 de couple - hommes, prélim. couloirs","Double-skiff masc, baterias classific",Men's Double Sculls Preliminary Race for Lanes,"Deux de couple - hommes, course préliminaire pour les couloirs","Double-skiff masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,041,0,8,Men's Four,4 en pointe - hommes,Quatro sem masculino,Men's Four,Quatre en pointe - hommes,Quatro sem masculino,"","",""
RO,M,041,1,3,Men's Four Finals,"4 en pointe - hommes, finales","Quatro sem masculino, finais",Men's Four Finals,"Quatre en pointe - hommes, finales","Quatro sem masculino, finais",Finals,Finales,Finais
RO,M,041,2,3,Men's Four Semifinals,"4 en pointe - hommes, 1/2 finales","Quatro sem masculino, semifinais",Men's Four Semifinals,"Quatre en pointe - hommes, demi-finales","Quatro sem masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,041,3,3,Men's Four Quarterfinals,"4 en pointe - hommes, 1/4 finale","Quatro sem masculino, quartas de final",Men's Four Quarterfinals,"Quatre en pointe - hommes, quarts de finale","Quatro sem masculino, quartas de final",Quarterfinals,Quart de finale,Quartas de Final
RO,M,041,8,3,Men's Four Repechages,"4 en pointe - hommes, repêchages","Quatro sem masculino, repescagens",Men's Four Repechages,"Quatre en pointe - hommes, repêchages","Quatro sem masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,041,9,3,Men's Four Heats,"4 en pointe - hommes, éliminatoires","Quatro sem masculino, eliminatórias",Men's Four Heats,"Quatre en pointe - hommes, éliminatoires","Quatro sem masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,041,M,6,Men's Four Victory Ceremony,"4 en pointe - hommes, remise médailles","Quatro sem masculino, cer. premiação",Men's Four Victory Ceremony,"Quatre en pointe - hommes, cérémonie de remise des médailles","Quatro sem masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,041,P,3,Men's Four Pre. Race for Ln,"4 de pointe - hommes, prélim. couloirs","Quatro sem masc, baterias classific",Men's Four Preliminary Race for Lanes,"Quatre de pointe - hommes, course préliminaire pour les couloirs","Quatro sem masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,042,0,8,Men's Quad. Sculls,4 en couple - hommes,Four-skiff masculino,Men's Quadruple Sculls,Quatre en couple - hommes,Four-skiff masculino,"","",""
RO,M,042,1,3,Men's Quad. Sculls Finals,"4 en couple - hommes, finales","Four-skiff masculino, finais",Men's Quadruple Sculls Finals,"Quatre en couple - hommes, finales","Four-skiff masculino, finais",Finals,Finales,Finais
RO,M,042,2,3,Men's Quad. Sculls Semifinals,"4 en couple - hommes, 1/2 finales","Four-skiff masculino, semifinais",Men's Quadruple Sculls Semifinals,"Quatre en couple - hommes, demi-finales","Four-skiff masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,042,3,3,Men's Quad. Sculls Quarterfinals,"4 en couple - hommes, 1/4 finale","Four-skiff masculino, quartas de final",Men's Quadruple Sculls Quarterfinals,"Quatre en couple - hommes, quarts de finale","Four-skiff masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
RO,M,042,8,3,Men's Quad. Sculls Repechages,"4 en couple - hommes, repêchages","Four-skiff masculino, repescagens",Men's Quadruple Sculls Repechages,"Quatre en couple - hommes, repêchages","Four-skiff masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,042,9,3,Men's Quad. Sculls Heats,"4 en couple - hommes, éliminatoires","Four-skiff masculino, eliminatórias",Men's Quadruple Sculls Heats,"Quatre en couple - hommes, éliminatoires","Four-skiff masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,042,M,6,Men's Quad. Sculls Victory Ceremony,"4 en couple - hommes, remise médailles","Four-skiff masculino, cer. premiação",Men's Quadruple Sculls Victory Ceremony,"Quatre en couple - hommes, cérémonie de remise des médailles","Four-skiff masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,042,P,3,Men's Quad. Sculls Pre. Race for Ln,"4 de couple - hommes, prélim. couloirs","Four-skiff masc, baterias classific",Men's Quadruple Sculls Preliminary Race for Lanes,"Quatre de couple - hommes, course préliminaire pour les couloirs","Four-skiff masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,083,0,8,Men's Eight,8 en pointe - hommes,Oito com masculino,Men's Eight,Huit en pointe - hommes,Oito com masculino,"","",""
RO,M,083,1,3,Men's Eight Finals,"8 en pointe - hommes, finales","Oito com masculino, finais",Men's Eight Finals,"Huit en pointe - hommes, finales","Oito com masculino, finais",Finals,Finales,Finais
RO,M,083,2,3,Men's Eight Semifinals,"8 en pointe - hommes, 1/2 finales","Oito com masculino, semifinais",Men's Eight Semifinals,"Huit en pointe - hommes, demi-finales","Oito com masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,083,3,3,Men's Eight Quarterfinals,"8 en pointe - hommes, 1/4 finale","Oito com masculino, quartas de final",Men's Eight Quarterfinals,"Huit en pointe - hommes, quarts de finale","Oito com masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
RO,M,083,8,3,Men's Eight Repechages,"8 en pointe - hommes, repêchages","Oito com masculino, repescagens",Men's Eight Repechages,"Huit en pointe - hommes, repêchages","Oito com masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,083,9,3,Men's Eight Heats,"8 en pointe - hommes, éliminatoires","Oito com masculino, eliminatórias",Men's Eight Heats,"Huit en pointe - hommes, éliminatoires","Oito com masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,083,M,6,Men's Eight Victory Ceremony,"8 en pointe - hommes, remise médailles","Oito com masculino, cer. premiação",Men's Eight Victory Ceremony,"Huit en pointe - hommes, cérémonie de remise des médailles","Oito com masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,083,P,3,Men's Eight Pre. Race for Ln,"8 de pointe - hommes, prélim. couloirs","Oito com masc, baterias classificatórias",Men's Eight Preliminary Race for Lanes,"Huit de pointe - hommes, course préliminaire pour les couloirs","Oito com masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,122,0,8,LWT Men's Double Sculls,2 en couple poids légers - hommes,Double-skiff peso leve masculino,Lightweight Men's Double Sculls,Deux en couple poids légers - hommes,Double-skiff peso leve masculino,"","",""
RO,M,122,1,3,LWT Men's Double Sculls Finals,"2 en couple poids légers - hom., finales","Double-skiff peso leve masculino, finais",Lightweight Men's Double Sculls Finals,"Deux en couple poids légers - hommes, finales","Double-skiff peso leve masculino, finais",Finals,Finales,Finais
RO,M,122,2,3,LWT Men's Double Sculls Semifinals,"2 couple pds légers - hom., 1/2 finales","Double-skiff peso leve masculino, 1/2",Lightweight Men's Double Sculls Semifinals,"Deux en couple poids légers - hommes, demi-finales","Double-skiff peso leve masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,122,3,3,LWT Men's Double Sculls Quarterfinals,"2 couple pds légers - hom., 1/4 finale","Double-skiff peso leve masculino, 1/4",Lightweight Men's Double Sculls Quarterfinals,"Deux en couple poids légers - hommes, quarts de finale","Double-skiff peso leve masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
RO,M,122,8,3,LWT Men's Double Sculls Repechages,"2 couple poids légers - hom., repêchages","Double-skiff peso leve masc, repescagens",Lightweight Men's Double Sculls Repechages,"Deux en couple poids légers - hommes, repêchages","Double-skiff peso leve masculino, repescagens",Repechages,Repêchages,Repescagens
RO,M,122,9,3,LWT Men's Double Sculls Heats,"2 en couple poids légers - hom., élimin.","2-skiff peso leve masc, eliminatórias",Lightweight Men's Double Sculls Heats,"Deux en couple poids légers - hommes, éliminatoires","Double-skiff peso leve masculino, eliminatórias",Heats,Éliminatoires,Eliminatórias
RO,M,122,M,6,LWT Men's Double Sculls Victory Ceremony,"2 couple pds légers - hom., remise méd.","2-skiff peso leve masc, cer. premiação",Lightweight Men's Double Sculls Victory Ceremony,"Deux en couple poids légers - hommes, cérémonie de remise des médailles","Double-skiff peso leve masculino, cerimônia de entrega das medalhas",Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,M,122,P,3,LWT Men's Double Sculls Pre. Race for Ln,"2 couple pds légers - hommes, couloirs","2-skiff leve masc, baterias classific",Lightweight Men's Double Sculls Preliminary Race for Lanes,"Deux de couple poids légers - hommes, course préliminaire pour les couloirs","Double-skiff peso leve masculino, baterias classificatórias",Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,M,141,0,8,LWT Men's Four,4 en pointe poids légers - hommes,Quatro sem peso leve masculino,Lightweight Men's Four,Quatre en pointe poids légers - hommes,Quatro sem peso leve masculino,"","",""
RO,M,141,1,3,LWT Men's Four Finals,"4 en pointe poids légers - hom., finales","Quatro sem peso leve masculino, finais",Lightweight Men's Four Finals,"Quatre en pointe poids légers - hommes, finales","Quatro sem peso leve masculino, finais",Finals,Finales,Finais
RO,M,141,2,3,LWT Men's Four Semifinals,"4 pointe pds légers - hom., 1/2 finales","Quatro sem peso leve masculino, 1/2",Lightweight Men's Four Semifinals,"Quatre en pointe poids légers - hommes, demi-finales","Quatro sem peso leve masculino, semifinais",Semifinals,Demi-finales,Semifinais
RO,M,141,3,3,LWT Men's Four Quarterfinals,"4 pointe pds légers - hom., 1/4 finale","Quatro sem peso leve masculino, 1/4",Lightweight Men's Four Quarterfinals,"Quatre en pointe poids légers - hommes, quarts de finale","Quatro sem peso leve masculino, quartas de final",Quarterfinals,Quarts de finale,Quartas de Final
